index, label
1, 1
2, 1
3, 1
4, 1
5, 1
6, 1
7, 0
8, 1
9, 1
10, 0
11, 1
12, 1
13, 1
14, 0
15, 1
16, 1
17, 0
18, 0
19, 0
20, 1
21, 1
22, 0
23, 0
24, 1
25, 1
26, 1
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 0
34, 0
35, 1
36, 1
37, 0
38, 0
39, 1
40, 1
41, 0
42, 1
43, 1
44, 0
45, 0
46, 0
47, 1
48, 0
49, 1
50, 1
51, 1
52, 1
53, 1
54, 1
55, 1
56, 0
57, 1
58, 1
59, 1
60, 1
61, 1
62, 1
63, 1
64, 1
65, 1
66, 1
67, 1
68, 1
69, 1
70, 1
71, 1
72, 0
73, 1
74, 1
75, 1
76, 1
77, 0
78, 1
79, 1
80, 1
81, 1
82, 1
83, 0
84, 1
85, 1
86, 1
87, 1
88, 0
89, 1
90, 1
91, 1
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 1
99, 1
100, 0
101, 1
102, 1
103, 1
104, 0
105, 1
106, 1
107, 1
108, 0
109, 0
110, 0
111, 0
112, 1
113, 1
114, 0
115, 1
116, 1
117, 0
118, 1
119, 1
120, 1
121, 1
122, 1
123, 0
124, 1
125, 0
126, 1
127, 1
128, 0
129, 0
130, 1
131, 1
132, 1
133, 1
134, 1
135, 1
136, 1
137, 1
138, 1
139, 1
140, 1
141, 1
142, 0
143, 1
144, 0
145, 1
146, 1
147, 1
148, 0
149, 0
150, 0
151, 1
152, 1
153, 1
154, 0
155, 0
156, 1
157, 0
158, 1
159, 0
160, 1
161, 0
162, 1
163, 1
164, 0
165, 1
166, 1
167, 0
168, 0
169, 0
170, 1
171, 1
172, 1
173, 1
174, 1
175, 0
176, 0
177, 1
178, 1
179, 1
180, 1
181, 0
182, 0
183, 0
184, 1
185, 1
186, 0
187, 1
188, 1
189, 1
190, 1
191, 1
192, 1
193, 1
194, 1
195, 0
196, 1
197, 1
198, 1
199, 1
200, 1
201, 1
202, 1
203, 1
204, 1
205, 1
206, 1
207, 1
208, 1
209, 0
210, 1
211, 1
212, 1
213, 1
214, 1
215, 1
216, 1
217, 0
218, 1
219, 1
220, 1
221, 0
222, 1
223, 1
224, 1
225, 1
226, 0
227, 1
228, 1
229, 0
230, 1
231, 1
232, 1
233, 1
234, 1
235, 0
236, 1
237, 1
238, 0
239, 1
240, 1
241, 1
242, 0
243, 1
244, 1
245, 1
246, 0
247, 0
248, 1
249, 1
250, 0
251, 0
252, 1
253, 1
254, 1
255, 0
256, 1
257, 1
258, 1
259, 1
260, 0
261, 0
262, 1
263, 1
264, 1
265, 1
266, 0
267, 1
268, 1
269, 1
270, 1
271, 0
272, 0
273, 1
274, 1
275, 1
276, 1
277, 1
278, 1
279, 0
280, 1
281, 1
282, 0
283, 1
284, 0
285, 1
286, 1
287, 1
288, 1
289, 0
290, 0
291, 1
292, 1
293, 1
294, 0
295, 0
296, 1
297, 1
298, 1
299, 0
300, 0
301, 0
302, 0
303, 1
304, 1
305, 0
306, 0
307, 1
308, 1
309, 1
310, 1
311, 1
312, 1
313, 1
314, 0
315, 1
316, 1
317, 1
318, 1
319, 0
320, 0
321, 1
322, 1
323, 0
324, 0
325, 0
326, 0
327, 1
328, 1
329, 1
330, 1
331, 1
332, 1
333, 0
334, 1
335, 1
336, 0
337, 1
338, 1
339, 1
340, 1
341, 1
342, 1
343, 1
344, 0
345, 1
346, 1
347, 1
348, 0
349, 0
350, 1
351, 1
352, 1
353, 1
354, 1
355, 1
356, 0
357, 1
358, 1
359, 1
360, 1
361, 0
362, 1
363, 1
364, 1
365, 1
366, 1
367, 1
368, 1
369, 0
370, 0
371, 0
372, 0
373, 0
374, 1
375, 1
376, 1
377, 0
378, 1
379, 1
380, 1
381, 1
382, 1
383, 0
384, 0
385, 0
386, 0
387, 0
388, 0
389, 1
390, 1
391, 0
392, 1
393, 0
394, 1
395, 0
396, 1
397, 1
398, 0
399, 1
400, 0
401, 1
402, 0
403, 1
404, 0
405, 1
406, 1
407, 1
408, 1
409, 1
410, 0
411, 0
412, 1
413, 1
414, 1
415, 1
416, 1
417, 0
418, 1
419, 1
420, 1
421, 0
422, 1
423, 1
424, 1
425, 1
426, 0
427, 0
428, 1
429, 1
430, 0
431, 0
432, 0
433, 1
434, 1
435, 0
436, 1
437, 0
438, 1
439, 1
440, 1
441, 0
442, 1
443, 0
444, 1
445, 0
446, 1
447, 1
448, 1
449, 1
450, 1
451, 1
452, 0
453, 1
454, 0
455, 1
456, 1
457, 1
458, 1
459, 1
460, 1
461, 1
462, 1
463, 1
464, 1
465, 1
466, 1
467, 1
468, 1
469, 1
470, 0
471, 0
472, 0
473, 1
474, 1
475, 1
476, 1
477, 0
478, 0
479, 1
480, 1
481, 1
